Entity,Code,Year,"Incidence of malaria (per 1,000 population at risk)"
Afghanistan,AFG,2000,107.1
Afghanistan,AFG,2005,46.5
Afghanistan,AFG,2010,23.9
Afghanistan,AFG,2015,23.6
Algeria,DZA,2000,0.037746263
Algeria,DZA,2005,0.00202141
Algeria,DZA,2010,0.001273162
Algeria,DZA,2015,0.001903542
Angola,AGO,2000,315.6
Angola,AGO,2005,299.5
Angola,AGO,2010,114.2
Angola,AGO,2015,124
Argentina,ARG,2000,2.5
Argentina,ARG,2005,2
Argentina,ARG,2010,0.1
Argentina,ARG,2015,0
Azerbaijan,AZE,2000,17.9
Azerbaijan,AZE,2005,2.7
Azerbaijan,AZE,2010,0.5
Azerbaijan,AZE,2015,0
Bangladesh,BGD,2000,12.5
Bangladesh,BGD,2005,12.6
Bangladesh,BGD,2010,8.6
Bangladesh,BGD,2015,0.8
Belize,BLZ,2000,20.5
Belize,BLZ,2005,18.7
Belize,BLZ,2010,1.6
Belize,BLZ,2015,0.1
Benin,BEN,2000,388.8
Benin,BEN,2005,420.6
Benin,BEN,2010,331.6
Benin,BEN,2015,293.7
Bhutan,BTN,2000,26.4
Bhutan,BTN,2005,7
Bhutan,BTN,2010,1.5
Bhutan,BTN,2015,0.1
Bolivia,BOL,2000,24.3
Bolivia,BOL,2005,13.6
Bolivia,BOL,2010,8.4
Bolivia,BOL,2015,3.9
Botswana,BWA,2000,44
Botswana,BWA,2005,3.5
Botswana,BWA,2010,4.7
Botswana,BWA,2015,0.9
Brazil,BRA,2000,62.6
Brazil,BRA,2005,38.7
Brazil,BRA,2010,19.4
Brazil,BRA,2015,7.9
Burkina Faso,BFA,2000,621.6
Burkina Faso,BFA,2005,549.8
Burkina Faso,BFA,2010,601.4
Burkina Faso,BFA,2015,389.2
Burundi,BDI,2000,418.8
Burundi,BDI,2005,273.3
Burundi,BDI,2010,198.2
Burundi,BDI,2015,126.3
Cambodia,KHM,2000,207
Cambodia,KHM,2005,48.7
Cambodia,KHM,2010,20.5
Cambodia,KHM,2015,13
Cameroon,CMR,2000,461.1
Cameroon,CMR,2005,515.7
Cameroon,CMR,2010,321.8
